#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         580   -0.450066   -0.444432 0.000336447
         581   -0.447698   -0.444438 0.000335915
         582   -0.443679   -0.444437  0.00033534
         583     -0.4394   -0.444428 0.000334876
         584   -0.442566   -0.444425 0.000334318
         585   -0.439686   -0.444417 0.000333844
         586   -0.437626   -0.444405 0.000333476
         587    -0.44259   -0.444402 0.000332922
         588   -0.433015   -0.444383 0.000332919
         589   -0.444316   -0.444383 0.000332353
         590   -0.449735   -0.444392 0.000331914
         591   -0.444527   -0.444392 0.000331352
         592   -0.437974   -0.444381  0.00033097
         593   -0.446154   -0.444384 0.000330425
         594   -0.454767   -0.444401 0.000330331
         595     -0.4389   -0.444392 0.000329905
         596   -0.444831   -0.444393 0.000329352
         597    -0.44116   -0.444388 0.000328845
         598   -0.442804   -0.444385 0.000328306
         599   -0.441518    -0.44438 0.000327793
         600   -0.437604   -0.444369 0.000327441
         601   -0.434978   -0.444353 0.000327269
         602   -0.448149    -0.44436 0.000326786
         603   -0.442021   -0.444356 0.000326267
         604   -0.449049   -0.444363 0.000325819
         605   -0.450583   -0.444374 0.000325443
         606   -0.443839   -0.444373 0.000324907
         607   -0.452362   -0.444386 0.000324638
         608   -0.440941    -0.44438 0.000324154
         609   -0.444472    -0.44438 0.000323622
         610   -0.453911   -0.444396 0.000323468
         611   -0.443096   -0.444394 0.000322945
         612   -0.441268   -0.444389 0.000322458
         613   -0.431904   -0.444368 0.000322575
         614   -0.435195   -0.444354 0.000322395
         615   -0.447051   -0.444358 0.000321901
         616   -0.450692   -0.444368 0.000321542
         617   -0.458969   -0.444392 0.000321891
         618   -0.443263    -0.44439 0.000321375
         619   -0.447667   -0.444395   0.0003209
         620   -0.446851   -0.444399 0.000320407
         621   -0.443508   -0.444398 0.000319894
         622   -0.450395   -0.444407 0.000319525
         623   -0.445805    -0.44441  0.00031902
         624   -0.444407    -0.44441 0.000318508
         625   -0.446604   -0.444413 0.000318018
         626   -0.437181   -0.444402  0.00031772
         627   -0.437047    -0.44439  0.00031743
         628   -0.443119   -0.444388 0.000316931
         629   -0.435811   -0.444374  0.00031672
         630   -0.437852   -0.444364 0.000316386
         631   -0.455498   -0.444382 0.000316377
         632   -0.445967   -0.444384 0.000315886
         633   -0.442374   -0.444381 0.000315403
         634   -0.441056   -0.444376 0.000314949
         635   -0.446985    -0.44438  0.00031448
         636   -0.435628   -0.444366 0.000314286
         637   -0.448261   -0.444372 0.000313852
         638   -0.440487   -0.444366  0.00031342
         639   -0.443746   -0.444365 0.000312931
         640   -0.443696   -0.444364 0.000312443
         641   -0.445767   -0.444366 0.000311964
         642   -0.449629   -0.444374 0.000311585
         643   -0.443961   -0.444374 0.000311102
         644   -0.438501   -0.444365 0.000310752
         645   -0.453088   -0.444378 0.000310564
         646   -0.444199   -0.444378 0.000310084
         647   -0.456367   -0.444396 0.000310158
         648    -0.43161   -0.444377 0.000310306
         649   -0.447394   -0.444381 0.000309863
         650   -0.458277   -0.444403 0.000310123
         651   -0.419486   -0.444364 0.000311999
         652   -0.434321   -0.444349 0.000311901
         653   -0.441693   -0.444345  0.00031145
         654   -0.444113   -0.444345 0.000310974
         655    -0.43569   -0.444331 0.000310779
         656   -0.443095    -0.44433 0.000310311
         657   -0.452046   -0.444341 0.000310061
