#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         547    0.320402    0.324605 0.000599284
         548    0.304773    0.324569 0.000599283
         549    0.343407    0.324603 0.000599173
         550    0.300249    0.324559 0.000599717
         551    0.347002      0.3246  0.00060001
         552     0.29975    0.324555  0.00060061
         553    0.316663     0.32454 0.000599693
         554    0.322715    0.324537  0.00059862
         555    0.330391    0.324548 0.000597634
         556    0.334977    0.324566 0.000596853
         557    0.339031    0.324592 0.000596347
         558     0.34199    0.324624 0.000596092
         559    0.326423    0.324627 0.000595035
         560    0.323476    0.324625 0.000593976
         561    0.340024    0.324652 0.000593551
         562    0.336237    0.324673 0.000592852
         563    0.297537    0.324625 0.000593755
         564    0.326781    0.324628 0.000592715
         565    0.335089    0.324647 0.000591955
         566    0.331913     0.32466 0.000591048
         567    0.329095    0.324668 0.000590058
         568    0.322645    0.324664  0.00058903
         569    0.318136    0.324653 0.000588106
         570    0.318934    0.324643  0.00058716
         571     0.30897    0.324615 0.000586773
         572    0.346053    0.324653 0.000586943
         573    0.332701    0.324667 0.000586086
         574    0.353461    0.324717 0.000587208
         575    0.352163    0.324764 0.000588124
         576    0.317098    0.324751 0.000587253
         577    0.331279    0.324763 0.000586344
         578    0.316607    0.324748   0.0005855
         579    0.311315    0.324725 0.000584948
         580    0.325417    0.324726 0.000583941
         581    0.305907    0.324694 0.000583833
         582    0.334701    0.324711 0.000583083
         583    0.324806    0.324711 0.000582083
         584    0.313724    0.324693  0.00058139
         585    0.344001    0.324726 0.000581333
         586    0.322448    0.324722 0.000580354
         587    0.327135    0.324726  0.00057938
         588    0.314419    0.324708 0.000578659
         589    0.288971    0.324648 0.000580849
         590    0.336518    0.324668 0.000580213
         591    0.320412     0.32466 0.000579276
         592    0.334054    0.324676 0.000578515
         593    0.324483    0.324676 0.000577539
         594    0.327629    0.324681 0.000576588
         595    0.342722    0.324711 0.000576416
         596    0.318104      0.3247 0.000575555
         597    0.353906    0.324749 0.000576667
         598    0.305602    0.324717  0.00057659
         599    0.333577    0.324732 0.000575818
         600    0.315458    0.324716 0.000575065
         601    0.326091    0.324719 0.000574113
         602    0.326632    0.324722 0.000573168
         603    0.351765    0.324767 0.000573969
         604    0.333709    0.324782  0.00057321
         605    0.297437    0.324736 0.000574042
         606    0.351128     0.32478 0.000574744
         607    0.324067    0.324779 0.000573798
         608    0.358926    0.324835 0.000575597
