#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
          18       -0.35    0.342167   0.0051028
          18       -0.25    0.311167  0.00522296
          18       -0.15       0.302  0.00369685
          18       -0.05    0.282611  0.00403162
          18        0.05    0.284611  0.00484968
          18        0.15    0.275833  0.00512031
          18        0.25    0.302056  0.00610933
          18        0.35    0.341167  0.00599292
          18        0.45    0.362444  0.00527001
          18        0.55    0.392833  0.00604267
          18        0.65    0.422611  0.00814458
          18        0.75    0.412444  0.00667695
          18        0.85    0.401944  0.00831905
          18        0.95    0.391056  0.00744588
          18        1.05    0.344444  0.00636358
          18        1.15    0.288944  0.00766162
          18        1.25    0.239667  0.00625685
          18        1.35    0.178222  0.00596883
          18        1.45    0.126722   0.0039564
          18        1.55   0.0832222  0.00321604
          18        1.65   0.0577778  0.00274149
          18        1.75   0.0335556  0.00303399
          18        1.85   0.0191111  0.00190822
          18        1.95   0.0112778   0.0011515
          19       -1.95   0.0167368  0.00181383
          19       -1.85   0.0189474  0.00152808
          19       -1.75   0.0372105  0.00224729
          19       -1.65   0.0617368  0.00281354
          19       -1.55   0.0886842  0.00272777
          19       -1.45    0.130789  0.00381031
          19       -1.35    0.178421   0.0048113
          19       -1.25    0.230895  0.00637077
          19       -1.15    0.287421  0.00468824
          19       -1.05    0.345895  0.00648967
          19       -0.95    0.383263  0.00477113
          19       -0.85    0.399053  0.00706224
          19       -0.75    0.431421  0.00786849
          19       -0.65    0.416421  0.00615331
          19       -0.55    0.393158   0.0056157
          19       -0.45    0.357211  0.00758062
          19       -0.35    0.341474  0.00488106
          19       -0.25    0.310526  0.00498717
          19       -0.15    0.302368  0.00352058
          19       -0.05    0.283421  0.00389994
          19        0.05    0.286316  0.00488485
          19        0.15    0.274368  0.00505604
          19        0.25    0.300895  0.00589704
          19        0.35    0.340421   0.0057237
          19        0.45    0.362579  0.00499435
          19        0.55    0.391579  0.00585339
          19        0.65    0.421316  0.00781824
          19        0.75    0.412368  0.00632596
          19        0.85    0.398737  0.00847706
          19        0.95    0.392211  0.00714301
          19        1.05    0.345579  0.00612895
          19        1.15    0.289895  0.00731707
          19        1.25    0.240526   0.0059863
          19        1.35       0.178  0.00565881
          19        1.45    0.127947  0.00393329
