T:   H:   H_ERR:   MU:   SIGMA:
     0.01225   -0.444616  0.00167242    0.784914    0.604271
   0.0120663   -0.444616  0.00167242    0.784914    0.604271
   0.0118853   -0.435112  0.00181498    0.750351    0.628607
    0.011707   -0.422559   0.0020371    0.747306      0.5758
   0.0115314   -0.422559   0.0020371    0.747306      0.5758
   0.0113584   -0.422559   0.0020371    0.747306      0.5758
    0.011188   -0.422559   0.0020371    0.747306      0.5758
   0.0110202   -0.440802  0.00183086     0.77249     0.60634
   0.0108549   -0.427567  0.00184883    0.731151    0.612977
   0.0106921   -0.427567  0.00184883    0.731151    0.612977
   0.0105317   -0.427567  0.00184883    0.731151    0.612977
   0.0103737   -0.430434  0.00174647    0.748493    0.600843
   0.0102181   -0.430434  0.00174647    0.748493    0.600843
   0.0100648   -0.438759  0.00143871    0.792929    0.593001
  0.00991388   -0.428309   0.0021129    0.737771    0.636887
  0.00976517   -0.432486    0.001356    0.755176    0.587282
  0.00961869   -0.444911  0.00154955    0.805191    0.602025
  0.00947441   -0.444911  0.00154955    0.805191    0.602025
  0.00933229   -0.444911  0.00154955    0.805191    0.602025
  0.00919231   -0.444911  0.00154955    0.805191    0.602025
  0.00905443   -0.444911  0.00154955    0.805191    0.602025
  0.00891861   -0.444911  0.00154955    0.805191    0.602025
  0.00878483   -0.444911  0.00154955    0.805191    0.602025
  0.00865306   -0.444911  0.00154955    0.805191    0.602025
  0.00852326   -0.444911  0.00154955    0.805191    0.602025
  0.00839541   -0.444911  0.00154955    0.805191    0.602025
  0.00826948   -0.444911  0.00154955    0.805191    0.602025
  0.00814544   -0.444911  0.00154955    0.805191    0.602025
  0.00802326   -0.444911  0.00154955    0.805191    0.602025
  0.00790291   -0.444911  0.00154955    0.805191    0.602025
  0.00778436   -0.436225  0.00182216    0.841779    0.599187
   0.0076676   -0.436225  0.00182216    0.841779    0.599187
  0.00755259   -0.436225  0.00182216    0.841779    0.599187
   0.0074393    -0.44373   0.0014546    0.797948    0.612936
  0.00732771   -0.429138  0.00221327    0.844234     0.64467
  0.00721779   -0.445453  0.00116187    0.799458    0.629011
  0.00710952   -0.445453  0.00116187    0.799458    0.629011
