#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
          13        1.35      0.0179 7.28387e-07
          13        1.45   0.0121923 6.28463e-07
          13        1.55  0.00876923 4.24244e-07
          13        1.65  0.00601538 4.37131e-07
          13        1.75  0.00336154 1.40218e-07
          13        1.85       0.002 2.04177e-07
          13        1.95  0.00125385  1.9052e-07
          14       -1.95  0.00138571 1.25078e-07
          14       -1.85  0.00214286 2.24106e-07
          14       -1.75  0.00329286 2.77328e-07
          14       -1.65  0.00542143 2.45979e-07
          14       -1.55  0.00837143 3.62148e-07
          14       -1.45      0.0119 5.44237e-07
          14       -1.35   0.0177929 3.34229e-07
          14       -1.25   0.0226143 8.17067e-07
          14       -1.15   0.0287786 7.31779e-07
          14       -1.05   0.0339714 1.03009e-06
          14       -0.95   0.0388214 1.08278e-06
          14       -0.85      0.0402  8.0769e-07
          14       -0.75   0.0431214 1.26984e-06
          14       -0.65   0.0410143  8.8061e-07
          14       -0.55   0.0390429 8.10897e-07
          14       -0.45      0.0366 9.11626e-07
          14       -0.35   0.0330786 1.03908e-06
          14       -0.25   0.0309571 8.65597e-07
          14       -0.15   0.0300286 8.21351e-07
          14       -0.05   0.0289143 6.78487e-07
          14        0.05   0.0279286 9.29935e-07
          14        0.15   0.0299357 7.53583e-07
          14        0.25      0.0308 7.30717e-07
          14        0.35      0.0348  7.6827e-07
          14        0.45   0.0371357 9.12222e-07
          14        0.55   0.0393929 9.35314e-07
          14        0.65   0.0393857 9.76608e-07
          14        0.75   0.0443714 7.23922e-07
          14        0.85   0.0424643 8.81989e-07
          14        0.95   0.0382143  8.5232e-07
          14        1.05   0.0353357 6.87981e-07
          14        1.15   0.0272429 7.10241e-07
          14        1.25   0.0221071 6.24493e-07
          14        1.35     0.01785 6.77876e-07
          14        1.45   0.0122643 5.87519e-07
          14        1.55  0.00882857 3.97964e-07
          14        1.65     0.00605 4.07158e-07
          14        1.75  0.00347857 1.72334e-07
          14        1.85  0.00205714 1.97396e-07
          14        1.95  0.00124286 1.77176e-07
          15       -1.95  0.00148667 1.52197e-07
          15       -1.85     0.00218 2.12209e-07
          15       -1.75  0.00329333 2.58814e-07
          15       -1.65  0.00530667 2.54997e-07
          15       -1.55     0.00834 3.39336e-07
          15       -1.45   0.0122667 6.19516e-07
          15       -1.35   0.0176867 3.28398e-07
          15       -1.25     0.02246 7.76992e-07
          15       -1.15   0.0284867 7.39012e-07
          15       -1.05   0.0344667  1.0741e-06
          15       -0.95     0.03884 1.01065e-06
          15       -0.85      0.0404 7.78207e-07
          15       -0.75     0.04282 1.22042e-06
          15       -0.65   0.0411533 8.32757e-07
